year,metric,language,percent,sample_size,population,source_url,published_at
2019,jetbrains-planned-adoption,Haskell,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,PHP,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,SQL,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Shell scripting languages,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Assembly,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Clojure / ClojureScript,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,CoffeeScript,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,F#,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Groovy,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Julia,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Lua,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Matlab,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Objective-C,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Perl,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Crystal,0,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Delphi,0,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Visual Basic,0,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,JavaScript,40,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Java,34,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Python,27,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,HTML / CSS,23,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,SQL,19,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,PHP,18,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,C#,15,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Other,11,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,C++,9,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,TypeScript,9,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Go,7,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Shell scripting languages,7,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Kotlin,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,C,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Ruby,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Swift,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Scala,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-primary-language,Objective-C,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,JavaScript,69,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,HTML / CSS,61,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,SQL,56,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Java,50,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Python,49,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Shell scripting languages,40,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,PHP,29,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,TypeScript,25,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,C#,24,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,C++,20,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Go,18,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,C,17,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Kotlin,16,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Ruby,11,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Swift,11,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Dart,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Groovy,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Objective-C,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,R,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Scala,6,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Rust,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Visual Basic,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Lua,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Other,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Assembly,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Elixir,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Haskell,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Matlab,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Perl,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Clojure / ClojureScript,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,CoffeeScript,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Crystal,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Delphi,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,F#,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-used-last-12-months,Julia,1,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2020,jetbrains-planned-adoption,Go,13,19696,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2020/,
2020,jetbrains-planned-adoption,Kotlin,10,19696,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2020/,
2020,jetbrains-planned-adoption,Python,9,19696,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2020/,
